iter	Passed	Remaining
0	4	4332
1	8	4131
2	11	3910
3	15	3796
4	18	3642
5	22	3732
6	26	3812
7	30	3764
8	33	3693
9	36	3639
10	39	3590
11	43	3576
12	46	3548
13	49	3496
14	52	3472
15	56	3459
16	60	3492
17	65	3568
18	70	3619
19	75	3690
20	79	3712
21	84	3740
22	88	3767
23	94	3826
24	98	3846
25	102	3828
26	105	3803
27	109	3807
28	113	3805
29	117	3798
30	121	3792
31	125	3782
32	127	3747
33	130	3712
34	133	3675
35	135	3637
36	139	3624
37	142	3608
38	145	3581
39	148	3555
40	151	3535
41	153	3504
42	157	3497
43	160	3478
44	162	3454
45	165	3430
46	168	3414
47	171	3396
48	174	3385
49	177	3367
50	179	3346
51	182	3327
52	185	3307
53	187	3288
54	190	3277
55	193	3265
56	196	3251
57	199	3242
58	202	3227
59	205	3220
60	208	3215
61	211	3204
62	215	3199
63	217	3188
64	220	3178
65	225	3190
66	228	3181
67	231	3172
68	234	3158
69	236	3147
70	239	3140
71	242	3124
72	245	3111
73	247	3097
74	250	3084
75	252	3074
76	256	3071
77	258	3059
78	261	3046
79	263	3033
80	266	3022
81	268	3011
82	272	3011
83	275	3000
84	277	2990
85	280	2979
86	283	2977
87	286	2972
88	289	2966
89	292	2957
90	295	2949
91	297	2939
92	300	2930
93	303	2923
94	306	2921
95	309	2916
96	312	2907
97	314	2897
98	317	2887
99	320	2883
100	324	2884
101	326	2874
102	329	2870
103	332	2867
104	336	2864
105	339	2859
106	342	2855
107	344	2848
108	347	2839
109	349	2830
110	352	2825
111	356	2823
112	358	2816
113	361	2806
114	363	2800
115	366	2792
116	369	2790
117	373	2789
118	376	2783
119	378	2777
120	381	2771
121	384	2767
122	387	2766
123	390	2760
124	393	2754
125	396	2747
126	398	2741
127	401	2736
128	404	2730
129	407	2726
130	410	2719
131	412	2712
132	415	2706
133	417	2699
134	420	2693
135	423	2687
136	425	2681
137	428	2673
138	430	2666
139	432	2658
140	435	2654
141	438	2651
142	441	2645
143	443	2639
144	446	2633
145	449	2626
146	452	2625
147	455	2620
148	457	2613
149	460	2607
150	463	2603
151	465	2596
152	468	2592
153	471	2590
154	473	2583
155	476	2578
156	479	2572
157	481	2565
158	484	2562
159	487	2559
160	489	2552
161	492	2547
162	495	2542
163	497	2536
164	499	2529
165	503	2528
166	505	2522
167	508	2516
168	510	2510
169	513	2504
170	515	2498
171	518	2496
172	521	2492
173	523	2487
174	526	2481
175	528	2475
176	531	2469
177	533	2465
178	537	2464
179	539	2459
180	542	2454
181	544	2449
182	547	2443
183	550	2441
184	553	2439
185	556	2434
186	559	2430
187	563	2432
188	565	2427
189	569	2426
190	572	2424
191	574	2419
192	577	2414
193	579	2409
194	582	2406
195	585	2403
196	588	2399
197	591	2395
198	594	2390
199	596	2386
200	599	2381
201	602	2378
202	604	2373
203	607	2369
204	609	2363
205	612	2359
206	614	2354
207	617	2351
208	619	2345
209	622	2341
210	625	2337
211	627	2332
212	629	2327
213	632	2323
214	635	2318
215	637	2314
216	640	2309
217	642	2304
218	645	2300
219	647	2296
220	650	2292
221	652	2288
222	655	2283
223	658	2280
224	660	2275
225	663	2270
226	665	2266
227	668	2263
228	671	2259
229	673	2255
230	676	2252
231	679	2247
232	681	2243
233	684	2240
234	686	2235
235	689	2232
236	692	2229
237	694	2224
238	697	2220
239	700	2217
240	702	2213
241	705	2210
242	708	2206
243	711	2203
244	714	2200
245	716	2197
246	719	2193
247	722	2191
248	725	2188
249	728	2185
250	731	2182
251	734	2179
252	736	2175
253	739	2171
254	742	2168
255	744	2165
256	747	2161
257	750	2157
258	752	2152
259	755	2149
260	757	2145
261	759	2140
262	762	2137
263	765	2134
264	768	2130
265	771	2127
266	773	2123
267	776	2120
268	778	2116
269	781	2113
270	784	2109
271	786	2106
272	789	2102
273	792	2101
274	795	2097
275	798	2094
276	800	2089
277	803	2086
278	806	2083
279	809	2080
280	811	2076
281	814	2074
282	817	2070
283	819	2066
284	822	2063
285	825	2060
286	827	2056
287	830	2052
288	833	2049
289	835	2045
290	838	2041
291	840	2038
292	843	2035
293	846	2031
294	848	2027
295	850	2023
296	853	2019
297	855	2016
298	858	2012
299	861	2009
300	863	2005
301	866	2003
302	869	2000
303	871	1996
304	874	1992
305	877	1989
306	879	1986
307	882	1982
308	885	1979
309	887	1975
310	890	1972
311	892	1968
312	895	1966
313	898	1962
314	901	1959
315	903	1956
316	906	1953
317	909	1949
318	911	1946
319	914	1942
320	916	1939
321	919	1935
322	921	1932
323	924	1928
324	926	1924
325	929	1920
326	931	1917
327	934	1914
328	937	1911
329	939	1907
330	942	1904
331	944	1900
332	947	1897
333	949	1894
334	952	1890
335	955	1888
336	957	1884
337	960	1880
338	962	1877
339	966	1875
340	968	1872
341	971	1868
342	974	1865
343	977	1863
344	979	1860
345	982	1857
346	985	1854
347	988	1851
348	990	1847
349	993	1844
350	995	1841
351	998	1838
352	1000	1834
353	1003	1831
354	1006	1828
355	1008	1825
356	1011	1821
357	1013	1817
358	1016	1814
359	1019	1811
360	1021	1808
361	1023	1804
362	1026	1801
363	1028	1797
364	1031	1794
365	1034	1791
366	1036	1788
367	1039	1785
368	1041	1781
369	1044	1778
370	1047	1775
371	1049	1772
372	1052	1768
373	1054	1765
374	1057	1762
375	1059	1758
376	1062	1755
377	1064	1752
378	1067	1749
379	1069	1745
380	1072	1742
381	1075	1739
382	1078	1736
383	1080	1733
384	1083	1730
385	1086	1728
386	1088	1724
387	1091	1722
388	1094	1719
389	1097	1715
390	1099	1712
391	1102	1709
392	1104	1706
393	1107	1703
394	1110	1700
395	1112	1696
396	1114	1693
397	1117	1690
398	1119	1686
399	1122	1683
400	1124	1679
401	1126	1676
402	1129	1672
403	1131	1669
404	1134	1666
405	1136	1662
406	1139	1659
407	1141	1656
408	1144	1653
409	1147	1651
410	1150	1648
411	1152	1645
412	1155	1643
413	1158	1640
414	1162	1638
415	1164	1635
416	1167	1632
417	1169	1628
418	1172	1625
419	1174	1622
420	1177	1619
421	1180	1616
422	1183	1614
423	1186	1611
424	1188	1608
425	1191	1605
426	1193	1602
427	1196	1599
428	1199	1596
429	1202	1594
430	1205	1591
431	1209	1589
432	1212	1587
433	1214	1584
434	1217	1581
435	1220	1578
436	1222	1575
437	1225	1572
438	1228	1569
439	1231	1567
440	1234	1564
441	1236	1561
442	1239	1558
443	1242	1555
444	1245	1552
445	1248	1550
446	1250	1547
447	1253	1544
448	1256	1542
449	1259	1539
450	1262	1536
451	1264	1533
452	1267	1529
453	1269	1526
454	1271	1523
455	1274	1520
456	1276	1517
457	1279	1514
458	1282	1511
459	1285	1508
460	1287	1505
461	1290	1502
462	1293	1499
463	1295	1496
464	1298	1494
465	1301	1491
466	1304	1489
467	1307	1486
468	1310	1483
469	1313	1481
470	1316	1478
471	1319	1476
472	1323	1474
473	1326	1471
474	1328	1468
475	1332	1466
476	1335	1464
477	1338	1461
478	1341	1459
479	1344	1456
480	1347	1454
481	1350	1451
482	1353	1448
483	1356	1446
484	1359	1443
485	1363	1442
486	1366	1439
487	1368	1436
488	1372	1433
489	1374	1430
